05:49:25.569923 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3415192:3415388, ack 1981, win 501, length 196
05:49:25.570106 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3415388:3415584, ack 1981, win 501, length 196
05:49:25.570266 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3415584:3415780, ack 1981, win 501, length 196
05:49:25.570448 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3415780:3415976, ack 1981, win 501, length 196
05:49:25.570649 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3415976:3416172, ack 1981, win 501, length 196
05:49:25.570825 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3416172:3416368, ack 1981, win 501, length 196
05:49:25.571026 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3416368:3416564, ack 1981, win 501, length 196
05:49:25.571189 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3416564:3416760, ack 1981, win 501, length 196
05:49:25.571384 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3416760:3416956, ack 1981, win 501, length 196
05:49:25.571593 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3416956:3417152, ack 1981, win 501, length 196
05:49:25.571775 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3417152:3417348, ack 1981, win 501, length 196
05:49:25.571972 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3417348:3417544, ack 1981, win 501, length 196
05:49:25.572095 IP cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098 > 138.197.139.105.ssh: Flags [.], ack 3404252, win 513, length 0
05:49:25.572096 IP cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098 > 138.197.139.105.ssh: Flags [.], ack 3406408, win 513, length 0
05:49:25.572096 IP cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098 > 138.197.139.105.ssh: Flags [.], ack 3408332, win 513, length 0
05:49:25.572343 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3417544:3418156, ack 1981, win 501, length 612
05:49:25.572549 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3418156:3418352, ack 1981, win 501, length 196
05:49:25.572747 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3418352:3418548, ack 1981, win 501, length 196
05:49:25.572945 IP 138.197.139.105.ssh > cpef81d0fadd1d3-cmf81d0fadd1d0.cpe.net.fido.ca.51098: Flags [P.], seq 3418548:3418744, ack 1981, win 501, length 196
